timestamp,open,high,low,close
1741809840000,70.93,70.945,70.93,70.94
1741809900000,70.945,70.945,70.94,70.94
1741809960000,70.935,70.96,70.935,70.96
1741810020000,70.955,70.955,70.945,70.945
1741810080000,70.94,70.945,70.935,70.935
1741810140000,70.935,70.935,70.935,70.935
1741810200000,70.94,70.94,70.93,70.93
1741810260000,70.925,70.925,70.92,70.92
1741810320000,70.915,70.92,70.915,70.915
1741810380000,70.915,70.915,70.915,70.915
1741810440000,70.915,70.915,70.915,70.915
1741810500000,70.915,70.915,70.915,70.915
1741810560000,70.925,70.925,70.915,70.915
1741810620000,70.92,70.925,70.92,70.925
1741810680000,70.93,70.935,70.925,70.935
1741810740000,70.93,70.945,70.925,70.94
1741810800000,70.945,70.945,70.93,70.935
1741810860000,70.94,70.945,70.94,70.945
1741810920000,70.94,70.94,70.94,70.94
1741810980000,70.945,70.955,70.945,70.95
1741811040000,70.945,70.945,70.94,70.94
1741811100000,70.945,70.945,70.945,70.945
1741811160000,70.955,70.955,70.955,70.955
1741811220000,70.96,70.965,70.955,70.96
1741811280000,70.965,70.965,70.96,70.96
1741811340000,70.96,70.96,70.96,70.96
1741811400000,70.913,70.965,70.913,70.965
1741811460000,70.975,70.995,70.975,70.995
1741811520000,70.99,70.99,70.935,70.935
1741811580000,70.92,70.92,70.905,70.91
1741811640000,70.905,70.915,70.905,70.905
1741811700000,70.91,70.91,70.905,70.905
1741811760000,70.91,70.93,70.91,70.925
1741811820000,70.945,70.965,70.945,70.945
1741811880000,70.955,70.965,70.95,70.965
1741811940000,70.955,70.965,70.955,70.96
1741812000000,70.945,70.95,70.94,70.945
1741812060000,70.955,70.955,70.95,70.955
1741812120000,70.945,70.95,70.93,70.935
1741812180000,70.945,70.945,70.935,70.945
1741812240000,70.955,70.975,70.955,70.965
1741812300000,70.96,70.975,70.955,70.975
1741812360000,70.97,70.975,70.97,70.97
1741812420000,70.975,70.975,70.96,70.96
1741812480000,70.955,70.965,70.95,70.965
1741812540000,70.96,70.965,70.95,70.955
1741812600000,70.96,70.965,70.955,70.96
1741812660000,70.955,70.955,70.95,70.95
1741812720000,70.955,70.955,70.95,70.955
1741812780000,70.95,70.95,70.95,70.95
1741812840000,70.955,70.955,70.955,70.955
1741812900000,70.95,70.955,70.94,70.945
1741812960000,70.955,70.955,70.95,70.95
1741813020000,70.945,70.955,70.945,70.95
1741813080000,70.955,70.96,70.95,70.96
1741813140000,70.965,70.965,70.945,70.945
1741910400000,70.092,70.122,70.082,70.092
1741910460000,70.087,70.102,70.032,70.032
1741910520000,70.022,70.062,70.022,70.042
1741910580000,70.052,70.057,70.047,70.052
1741910640000,70.047,70.047,70.032,70.037
1741910700000,70.042,70.057,70.042,70.052
1741910760000,70.047,70.052,70.022,70.022
1741910820000,70.017,70.032,70.017,70.022
1741910880000,70.012,70.022,70.012,70.017
1741910940000,70.022,70.022,70.012,70.012
1741911000000,70.017,70.017,69.997,69.997
1741911060000,70.002,70.002,69.962,69.967
1741911120000,69.962,69.992,69.962,69.987
1741911180000,69.992,70.012,69.987,69.987
1741911240000,69.992,69.992,69.982,69.992
1741911300000,69.997,70.012,69.992,69.992
1741911360000,69.997,70.002,69.992,69.997
1741911420000,70.002,70.002,69.977,69.982
1741911480000,69.977,69.977,69.977,69.977
1741911540000,69.972,69.982,69.972,69.982
1741911600000,69.977,69.977,69.962,69.972
